,Response Time,Availability,Throughput,Successability,Reliability,Compilance,Best Practices,Latency,Documentaion,WsRF,Class,Name,WSDL
27,126.2,100,12.3,80,78.7,78,80,125.8,86,83,1,DOTSGeoPhone,http://ws2.serviceobjects.net/gp/GeoPhone.asmx?wsdl
28,125.75,100,12.4,78,75.9,78,80,125.5,90,83,1,DOTSGeoCash,http://ws2.serviceobjects.net/gc/GeoCash.asmx?wsdl
29,111.0,83,26.9,50,97.1,89,91,109.0,35,83,1,TestConfigService,http://www.chidera.net/csPublic/CS/myFamily/ws/TestConfig.wsdl
30,175.0,100,11.3,83,62.8,100,87,174.0,89,83,1,promotionService,http://interpressfact.net/webservices/promotionService.asmx?wsdl
31,130.0,83,23.6,50,91.6,89,91,126.0,60,83,1,XEMBLService,http://www.ebi.ac.uk/xembl/XEMBL.wsdl
32,327.5,100,16.4,86,64.9,100,80,300.5,93,83,1,GMChart,http://service.graphmagic.com/GMService/GraphMagic.asmx?wsdl
33,145.62,100,11.9,85,74.6,78,84,145.12,88,82,1,SmartPayments,http://www.tpisoft.com/smartpayments/transact.asmx?wsdl
34,126.77,100,3.2,86,81.8,78,80,119.44,95,81,1,DOTSAddressValidate,http://ws2.serviceobjects.net/av/AddressValidate.asmx?wsdl
35,132.12,100,11.2,93,79.0,100,80,98.56,39,81,1,Bible,http://bible.sumerano.com/bible.asmx?wsdl
36,75.0,86,20.5,71,87.0,89,84,74.0,6,81,1,RegistrationService,http://www.genesiscentre.org/RegistrationService.asmx?wsdl
37,135.0,100,22.7,83,84.9,100,84,134.0,9,81,1,AMSLiveAuction,http://www.derschmuckkanal.de/AMSLiveAuction.asmx?wsdl
38,180.0,100,27.3,83,82.9,100,84,180.0,9,81,1,SendToAFriendService,http://www.freightlinertrucks.com/SendToAFriendService.asmx?wsdl
39,166.11,100,10.3,86,75.7,78,80,158.89,90,81,1,DictService,http://services.aonaware.com/DictService/DictService.asmx?wsdl
40,159.0,98,26.3,67,94.6,100,84,158.0,10,81,1,CodeGenerator,http://www.esynaps.com/webservices/codegenerator.asmx?wsdl
41,150.45,100,7.4,96,82.1,100,82,100.36,37,80,2,Phone,http://ws.acrosscommunications.com/Phone.asmx?wsdl
42,138.13,100,5.8,90,80.3,78,69,135.94,83,79,2,InterFax,http://ws.interfax.net/dfs.asmx?wsdl
43,238.0,100,18.3,83,70.8,100,87,238.0,41,79,2,CodeGenerator,http://www.qas-keylessaccess.com/QAS/qas.wsdl
44,169.33,100,10.7,86,66.1,78,66,132.33,92,79,2,ZipCodes,http://www.codebump.com/services/zipcodelookup.asmx?wsdl
45,134.0,100,1.3,75,80.0,78,84,132.67,93,78,2,DOTSGeoCoderCanada,http://trial.serviceobjects.com/gcc/GeoCoderCanada.asmx?wsdl
46,136.5,100,2.1,71,80.3,78,84,136.5,95,78,2,DOTSGeoPinPoint,http://trial.serviceobjects.com/gpp/GeoPinpoint.asmx?wsdl
47,77.5,86,17.8,71,85.6,89,80,73.5,1,78,2,cfgrtr_keyword,http://www.corsairmemory.com/cfgrtr_keyword.asmx?wsdl
48,158.17,100,10.9,82,73.9,78,62,126.67,86,78,2,HolidayService,http://www.holidaywebservice.com/Holidays/HolidayService.asmx?wsdl
49,119.0,83,15.3,50,85.4,89,84,103.0,60,78,2,UPCLookupService,http://www.flash-db.com/services/ws/upcLookup.wsdl
50,122.12,100,13.5,85,83.5,78,77,122.0,40,78,2,XigniteSurvey,http://www.xignite.com/xSurvey.asmx?wsdl
51,1442.0,100,10.3,83,71.1,100,84,1359.0,91,78,2,CpuStatusService,http://soapam.nuwave-tech.com/services/cpustatus/cpustatus.wsdl
52,225.36,100,10.9,88,62.6,78,77,225.36,93,78,2,XigniteStockQuotes,http://lsdis.cs.uga.edu/projects/meteor-s/downloads/mwsaf/wsdl/Stock/xQuotes.wsdl
53,197.0,83,23.2,50,81.0,89,89,194.0,60,78,2,SOAP,http://www.progem.bg/BGTrans/services.wsdl
54,113.5,79,2.1,56,72.5,78,84,48.75,88,78,2,IP2Geo,http://ws.cdyne.com/ip2geo/ip2geo.asmx?wsdl
55,164.0,100,2.4,75,70.0,89,84,125.33,89,78,2,eyeVeri,http://www.tilisoft.com/ws/eyeVeri/eyeVeri.asmx?wsdl
56,479.0,83,18.1,50,79.2,89,91,354.0,94,77,2,geniatagger,http://nactem.ac.uk/software/geniatagger/webservice/geniatagger.wsdl
57,167.67,100,3.6,75,65.9,78,84,116.67,97,77,2,CaptchaService,http://www.textdisguise.com/TextDisguise/CaptchaService/CaptchaService.asmx?wsdl
58,134.34,100,1.1,75,82.1,78,80,133.67,89,77,2,DOTSFraudProtectionLite,http://trial.serviceobjects.com/fpl/FraudProtectionLite.asmx?wsdl
59,136.88,62,8.2,46,69.1,78,80,43.88,97,77,2,EmailVerNoTestEmail,http://ws.cdyne.com/emailverify/Emailvernotestemail.asmx?wsdl
60,167.6,100,10.9,80,62.9,78,62,145.8,96,77,2,GBSCTHolidayService,http://www.holidaywebservice.com/Holidays/GBSCT/GBSCTHolidayService.asmx?wsdl
61,133.5,100,1.5,71,78.1,78,84,133.0,89,77,2,DOTSNameWizard,http://ws2.serviceobjects.net/nw/namewizard.asmx?wsdl
62,125.5,100,1.7,71,67.6,78,80,111.0,96,77,2,CountCheatService,http://services.aonaware.com/CountCheatService/CountCheatService.asmx?wsdl
63,171.6,100,11.4,80,62.1,78,62,149.4,94,77,2,GBNIRHolidayService,http://www.holidaywebservice.com/Holidays/GBNIR/GBNIRHolidayService.asmx?wsdl
64,65.28,64,11.3,53,87.8,78,80,62.07,40,77,2,LegfindWS,http://www.legfind.com/LegfindWS.asmx?wsdl
65,117.27,100,6.0,93,85.5,78,82,116.82,36,77,2,Service1,http://www.davecooperprogramming.net/service1.asmx?wsdl
66,164.5,72,9.3,57,74.4,100,84,152.5,92,76,2,LetterSoup,http://regomnet.de/lettersoup.asmx?wsdl
67,113.8,100,5.2,90,81.0,100,84,83.8,11,76,2,SMS,http://ws.acrosscommunications.com/SMS.asmx?wsdl
68,163.8,100,11.1,80,62.1,78,62,143.2,90,76,2,USHolidayService,http://www.holidaywebservice.com/Holidays/US/USHolidayService.asmx?wsdl
69,129.34,56,5.1,48,74.5,78,77,37.69,89,76,2,AddressLookup,http://ws.cdyne.com/psaddress/addresslookup.asmx?wsdl
70,168.0,100,10.9,80,63.7,78,62,145.0,89,76,2,GBEAWHolidayService,http://www.holidaywebservice.com/Holidays/GBEAW/GBEAWHolidayService.asmx?wsdl
71,144.0,100,24.7,57,90.2,78,93,143.5,3,76,2,eUtilsService,http://www.ncbi.nih.gov/entrez/eutils/soap/efetch_lit.wsdl
72,141.5,100,0.9,71,77.8,78,80,140.5,92,76,2,DOTSAddressPlus,http://ws2.serviceobjects.net/ap/AddressPlus.asmx?wsdl
73,118.5,100,0.7,71,70.2,78,80,118.5,90,76,2,DOTSPhoneAppend,http://ws2.serviceobjects.net/pa/phoneappend.asmx?wsdl
74,179.46,100,9.3,88,56.7,78,66,132.82,88,76,2,GeoPlaces,http://www.codebump.com/services/placelookup.asmx?wsdl
75,104.0,86,18.7,71,85.6,89,80,102.5,9,76,2,CityLocations,http://asyncpostback.com/CityLocations.asmx?wsdl
76,87.48,61,1.9,51,95.5,78,82,86.4,93,76,2,AmazonBox,http://www.xmlme.com/WSAmazonBox.asmx?wsdl
77,168.17,91,4.3,83,76.9,78,74,131.0,87,76,2,XigniteCalendar,http://xignite14.xignite.com/xcalendar.asmx?wsdl
78,158.0,100,2.2,71,75.7,78,84,157.5,89,76,2,DOTSGeoPinPoint,http://trial.serviceobjects.com/gpp/GeoPinPoint.asmx?wsdl
79,267.37,100,8.1,95,70.0,100,72,245.56,60,76,2,TerraService,http://terraservice.net/TerraService.asmx?wsdl
80,401.0,100,9.0,83,66.3,78,77,266.71,95,76,2,XigniteSimulation,http://www.xignite.com/xsimulation.asmx?wsdl
81,102.0,100,9.5,67,78.5,78,84,102.0,39,76,2,BEP,http://www.webservicex.net/bep.asmx?wsdl
82,156.0,100,0.1,90,60.0,78,74,93.0,87,75,2,XigniteFutures,http://www.xignite.com/xFutures.asmx?wsdl
83,266.89,100,2.8,95,58.7,78,82,128.61,87,75,2,GBSCTHolidayDates,http://www.holidaywebservice.com/Holidays/GBSCT/Dates/GBSCTHolidayDates.asmx?wsdl
84,317.0,100,8.2,83,59.4,78,84,261.29,92,75,2,CreditCardValidator,http://www.tpisoft.com/smartpayments/validate.asmx?wsdl
85,129.0,100,17.6,67,81.3,89,87,115.0,6,75,2,HoroscopeService,http://groups.sims.berkeley.edu/usable-accessibility/CLASS_GODZODIACK/Godzodiack.wsdl
86,120.0,100,3.6,91,82.7,100,84,94.17,10,75,2,Fax,http://ws.acrosscommunications.com/Fax.asmx?wsdl
87,102.0,83,26.8,33,96.6,78,86,98.0,7,75,2,InteractionService,http://www.projectliberty.org/liberty/content/download/1539/10648/file/liberty-idwsf-interaction-svc-v1.0.wsdl
88,70.0,84,7.7,50,77.3,78,87,68.0,37,75,2,orderBooks,http://dpsearch.onesbase.org/all/Unsorted/bookcode/ch12/booksourceUI/Web%20References/WebReference1/orderBooks.wsdl
89,433.5,86,10.2,71,56.1,89,84,143.0,95,75,2,LocalTime,http://www.ripedev.com/webservices/LocalTime.asmx?wsdl
90,118.0,83,21.3,33,86.6,78,89,112.0,41,75,2,ReceiveExternalNotificationService,http://www.caiso.com/1c18/1c18dea52cf30.wsdl
91,130.5,91,0.7,67,72.7,78,78,114.0,93,74,2,Notas,http://www22.brinkster.com/horaciovallejo/netpress1.asmx?wsdl
92,211.0,100,12.4,67,57.9,89,65,210.0,88,74,2,adSearch,http://www.interpressfact.net/webservices/getAds.asmx?wsdl
93,92.5,100,2.3,71,78.0,78,80,61.5,31,74,2,UPSTracking,http://glkev.webs.innerhost.com/glkev_ws/UPSTracking.asmx?wsdl
94,256.5,86,9.2,71,64.0,89,77,148.0,87,74,2,Cryptarithm,http://www.quisque.com/fr/chasses/crypto/crypta.asmx?wsdl
95,463.0,100,11.6,67,69.9,78,84,421.0,88,74,2,ICD9Drug,http://www.webservicex.com/icd9drug.asmx?wsdl
96,187.0,100,17.6,83,67.3,100,84,186.0,8,74,2,SendToAFriendCascadiaService,http://www.freightlinertrucks.com/SendToAFriendCascadiaService.asmx?wsdl
97,163.5,100,8.4,86,62.8,100,80,162.5,38,74,2,MovieInformation,http://www.ignyte.com/webservices/ignyte.whatsshowing.webservice/moviefunctions.asmx?wsdl
98,110.5,100,2.9,71,81.4,78,84,72.5,32,74,2,Currencyws,http://glkev.webs.innerhost.com/glkev_ws/Currencyws.asmx?wsdl
99,99.0,100,11.7,67,84.7,78,84,92.5,7,74,2,AgenteelCodigoPostalService,http://www.agenteel.com/CPdeMEX/AgenteelCP.wsdl
100,232.25,78,6.6,67,64.0,89,84,144.25,91,73,2,Hill,http://www.quisque.com/fr/chasses/crypto/hill.asmx?wsdl
101,154.66,63,6.9,50,76.8,100,84,152.33,89,73,2,GHNSService,http://ghns.freedesktop.org/spec/dxs.wsdl
102,222.0,100,6.0,67,60.0,78,80,155.0,90,73,2,OFACSDN,http://www.webservicex.net/OFACSDN.asmx?wsdl
103,215.0,86,5.1,57,66.7,78,84,115.5,97,73,2,Shakespeare,http://www.xmlme.com/WSShakespeare.asmx?wsdl
104,120.33,100,0.4,75,72.9,78,80,119.33,64,73,2,DOTSYellowPages,http://ws2.serviceobjects.net/yp/YellowPages.asmx?wsdl
105,3203.0,100,0.1,95,57.1,78,82,109.0,91,73,2,GBNIRHolidayDates,http://www.holidaywebservice.com/Holidays/GBNIR/Dates/GBNIRHolidayDates.asmx?wsdl
106,624.75,100,0.2,88,69.6,78,80,161.0,90,73,2,DOTSGeoCoder,http://ws2.serviceobjects.net/gcr/GeoCoder.asmx?wsdl
107,189.0,100,2.2,67,62.2,78,84,147.0,89,73,2,BarCode,http://www.webservicex.net/genericbarcode.asmx?wsdl
108,213.25,78,5.8,67,56.5,89,84,138.25,94,73,2,CEqImage,http://www.quisque.com/fr/techno/eqimage/eqimage.asmx?wsdl
109,131.3,61,8.1,48,78.4,67,84,84.65,94,73,2,DemographixQuery,http://ws.cdyne.com/DemographixWS/DemographixQuery.asmx?wsdl
110,134.0,100,9.9,67,61.2,89,65,68.0,38,73,2,Statistics,http://www.strikeiron.com/scripts/statistics.asmx?wsdl
111,131.0,80,1.6,56,65.9,78,72,31.5,41,73,2,PhoneVerify,http://ws.cdyne.com/phoneverify/phoneverify.asmx?wsdl
112,130.0,86,14.7,71,82.0,89,84,128.0,11,73,2,DealerContactService,http://www.selectrucks.com/DealerContactService.asmx?wsdl
113,275.2,100,1.6,80,64.0,78,83,241.4,90,73,2,FedACH,http://www.webservicex.net/FedACH.asmx?wsdl
114,218.0,100,0.1,90,57.1,78,74,218.0,95,72,2,XigniteFutures,http://preview.xignite.com/xFutures.asmx?wsdl
115,97.5,86,8.1,57,79.3,78,84,97.5,38,72,2,ElectronicProductsFinder,http://www.xmlme.com/WSElectronics.asmx?wsdl
116,213.0,83,20.4,50,77.2,78,91,210.0,42,72,2,credit,http://www.cc.jyu.fi/~rissepp/files/credit.wsdl
117,179.5,74,2.5,64,68.6,89,80,141.0,92,72,2,CSearch,http://www.quisque.com/fr/chasses/blasons/search.asmx?wsdl
118,322.0,100,19.3,67,80.3,100,84,321.0,5,72,2,eSynapsFeed,http://www.esynaps.com/WebServices/eSynapsFeed.asmx?wsdl
119,160.75,100,6.1,89,62.3,100,84,94.0,8,72,2,NumPager,http://ws.acrosscommunications.com/NumPager.asmx?wsdl
120,104.0,86,8.5,57,82.2,78,84,103.0,34,72,2,DotnetDailyFact,http://www.xmlme.com/WSDailyNet.asmx?wsdl
121,443.89,100,8.2,86,45.7,78,77,443.67,91,72,2,XigniteMetals,http://www.xignite.com/xMetals.asmx?wsdl
122,581.0,97,17.5,83,80.5,100,84,581.0,7,71,2,WebSearchWS,http://www.esynaps.com/WebServices/SearchWS.asmx?wsdl
123,395.0,98,17.0,83,73.2,100,84,386.0,8,71,2,eSynapsSerach,http://www.esynaps.com/WebServices/eSynapsSearch.asmx?wsdl
124,110.18,100,7.6,95,91.8,78,58,109.21,6,71,2,Service1,http://www.linricsoftware.com/psychlib/PsyCalcWS.wsdl
125,119.33,88,2.9,62,76.5,78,80,65.0,42,71,2,HistoricalStockQuotes,http://glkev.webs.innerhost.com/glkev_ws/HistoricalStockQuotes.asmx?wsdl
126,174.71,100,2.5,92,73.4,100,84,104.57,9,71,2,ICQ,http://ws.acrosscommunications.com/ICQ.asmx?wsdl
127,405.0,100,16.1,83,69.8,100,84,405.0,12,71,2,FileTransferIn,http://www.gregsy.com/FileTransfer.asmx?wsdl
128,196.0,100,15.7,83,57.2,100,84,162.0,3,71,2,WhoIsService,http://www.esynaps.com/WebServices/WhoIsService.asmx?wsdl
129,81.08,43,10.1,51,97.3,100,89,64.96,3,71,2,DaveApiWebService,http://dave.tv/daveapiwebservice.asmx?wsdl
130,194.66,100,7.3,88,56.3,100,83,83.33,9,71,2,WSLinkChecker,http://www.costudio.com/WSLinkChecker.asmx?wsdl
131,261.0,100,1.8,71,58.1,78,80,229.5,94,71,2,WeatherForecast,http://www.webservicex.net/WeatherForecast.asmx?wsdl
132,194.75,100,13.4,89,57.6,100,77,172.25,10,71,2,FindAddressService,http://rep.oio.dk/Altforintet_dk/findaddressservice.wsdl
133,820.0,100,7.7,78,51.5,78,77,351.0,93,71,2,XigniteOptions,http://www.xignite.com/xoptions.asmx?wsdl
134,183.77,55,6.1,54,71.4,89,71,76.4,91,71,2,MessageService,http://www.fmnsoft.com/MessageService.asmx?wsdl
135,615.0,100,7.8,88,48.5,100,84,599.33,58,71,2,FindAircraftWebService,http://www.aircraftid.com/FindAircraft.wso?WSDL
136,972.4,100,6.3,80,59.1,78,84,966.8,86,71,2,ICD9,http://www.webservicex.com/icd9.asmx?wsdl
137,362.5,100,12.3,71,62.4,89,75,351.0,57,71,2,BFOGraphService,http://bfo.co.uk/products/graph/docs/bfograph-2.1.wsdl
138,301.0,100,1.3,80,55.0,78,80,273.0,92,71,2,GenericUNSPSC,http://www.webservicex.net/GenericUNSPSC.asmx?wsdl
139,311.73,100,6.2,88,43.4,78,72,308.91,89,71,2,XigniteHoldings,http://www.xignite.com/xHoldings.asmx?wsdl
140,160.0,100,2.2,71,73.3,78,84,74.0,32,71,2,WeatherFetcher,http://glkev.webs.innerhost.com/glkev_ws/WeatherFetcher.asmx?wsdl
141,123.0,86,9.3,57,79.9,78,84,121.5,37,70,3,XmlDailyFact,http://www.xmlme.com/WSDailyXml.asmx?wsdl
142,65.0,100,1.2,57,75.9,78,75,65.0,9,70,3,SRWSampleService,http://www.library.utoronto.ca/unicorn.wsdl
143,165.0,100,11.8,95,53.2,100,75,160.64,6,70,3,productPortalWS,http://ce.vtt.fi/eprocon_client/BC.wsdl
144,351.09,100,6.6,88,50.6,78,77,350.45,76,70,3,XigniteEmerging,http://www.xignite.com/xEmerging.asmx?wsdl
145,222.0,100,8.9,67,65.8,78,87,123.0,40,70,3,cCourtsIS,http://www.courts.state.mn.us/documents/0/Public/Integration_Services/SoapServices/CourtsIS_02/CaseSearchByParty_3_1.wsdl
146,362.0,100,10.5,78,72.7,89,91,300.5,23,70,3,MBSoapService,http://staff.um.edu.mt/cabe2/supervising/undergraduate/owlseditFYP/MBWSSoapServices.wsdl
147,110.0,86,6.5,57,75.9,78,84,105.0,38,70,3,VideoGamesFinder,http://www.xmlme.com/WSVideoGames.asmx?wsdl
148,179.2,100,0.7,90,65.0,100,69,127.2,36,70,3,SMS,http://www.abctext.com/webservices/SMS.asmx?wsdl
149,155.0,100,14.2,62,73.1,78,88,144.33,12,70,3,acromine,http://www.nactem.ac.uk/software/acromine/acromine.wsdl
150,958.0,100,4.8,71,60.4,78,84,909.0,92,70,3,ICD10,http://www.webservicex.com/icd10.asmx?wsdl
151,387.55,100,5.4,92,37.6,78,74,387.2,90,70,3,XigniteSecurity,http://www.xignite.com/xsecurity.asmx?wsdl
152,123.5,60,8.1,48,78.6,67,80,41.0,36,70,3,DelayedStockQuote,http://ws.cdyne.com/delayedstockquote/delayedstockquote.asmx?wsdl
153,100.0,86,12.3,57,80.4,78,80,96.5,10,70,3,SiteSearchService,http://ojor.com/SiteSearch.asmx?wsdl
154,293.0,100,14.2,86,55.4,100,84,292.0,11,70,3,HashClass,http://www.bs-byg.dk/hashclass.wsdl
155,104.67,100,8.5,62,80.6,78,84,98.67,2,70,3,GoogleSearchService,http://www.dankohn.com/mt/lib/MT/GoogleSearch.wsdl
156,180.0,83,20.3,50,78.4,89,91,179.0,7,70,3,OclService,http://monarch.fokus.fraunhofer.de:8080/WebOSLO/wsdl/Ocl.wsdl
157,891.66,100,7.5,75,48.3,78,77,419.33,92,70,3,XigniteHousing,http://www.xignite.com/xhousing.asmx?wsdl
158,411.67,100,4.3,75,51.1,78,80,350.0,89,70,3,FedWire,http://www.webservicex.net/FedWire.asmx?wsdl
159,115.0,86,6.6,57,76.6,78,84,112.5,37,69,3,SportingGoodsFinder,http://www.xmlme.com/WSSportingGoods.asmx?wsdl
160,336.33,91,8.8,82,44.2,100,80,330.83,58,69,3,AddressManager,http://www.arcwebservices.com/services/v2006/AddressManager.wsdl
161,224.0,100,15.2,83,53.0,100,84,223.0,3,69,3,NFLNews,http://www.esynaps.com/WebServices/NFLNews.asmx?wsdl
162,307.5,100,0.7,71,58.4,78,77,307.0,94,69,3,Xignite13F,http://www.xignite.com/x13f.asmx?wsdl
163,664.0,84,13.6,50,71.5,89,91,648.0,62,69,3,finnwordsService,http://www.nickhodge.com/nhodge/finnwords/finnwords.wsdl
164,173.5,86,12.2,71,84.6,89,87,173.0,3,69,3,Testimonials,https://www.closingstream.com/Testimonials.asmx?wsdl
165,30781.0,95,0.1,97,57.1,89,75,30781.0,90,69,3,VRAPI,http://www.verticalresponse.com/images/API/VRAPI.wsdl
166,4067.0,100,4.3,67,65.1,78,84,4045.0,92,69,3,ISBN,http://www.webservicex.com/isbn.asmx?wsdl
167,195.5,89,10.7,67,43.7,78,89,194.75,61,69,3,CalcService,http://services.roesweb.nl/Calc.wsdl
168,108.66,96,2.4,50,82.4,89,91,93.33,11,69,3,MummerService,http://staff.vbi.vt.edu/pathport/services/wsdls/mummer.wsdl
169,786.27,100,1.0,95,17.6,78,82,105.21,89,68,3,GBEAWHolidayDates,http://www.holidaywebservice.com/Holidays/GBEAW/Dates/GBEAWHolidayDates.asmx?wsdl
170,263.62,70,4.1,62,47.4,89,80,133.12,96,68,3,Cesar,http://www.quisque.com/fr/chasses/crypto/cesar.asmx?wsdl
171,262.34,100,6.1,90,16.1,78,77,262.07,88,68,3,EndOfDay,http://ws.eoddata.com/EndOfDay.asmx?wsdl
172,468.0,83,10.6,67,63.2,100,75,461.0,56,68,3,SMART,http://smart.embl-heidelberg.de/webservice/SMART_webservice.wsdl
173,2007.5,100,3.7,71,59.7,78,84,1981.0,86,68,3,ICD9ToICD10,http://www.webservicex.com/icd9toicd10.asmx?wsdl
174,977.0,100,13.7,83,74.8,100,84,955.0,1,68,3,engtoarabic,http://www.closerfar.com/engtoarabic.asmx?wsdl
175,101.0,100,1.3,67,65.1,78,84,67.0,7,68,3,FraudLabsWebService,http://ws.fraudlabs.com/ws.fraudlabs.com_non_ssl/fraudlabswebservice.asmx?wsdl
176,278.67,74,3.4,64,43.4,89,80,137.5,94,68,3,Vigenere1,http://www.quisque.com/fr/chasses/crypto/vigenere1.asmx?wsdl
177,9352.66,79,0.9,75,64.7,89,88,9344.33,94,68,3,cdxSecurity,https://naas.epacdxnode.net/xml/auth.wsdl
178,217.67,96,7.1,88,55.9,100,80,150.0,11,68,3,YourHost,http://www.esynaps.com/webservices/YourHostInfo.asmx?wsdl
179,1653.0,100,4.6,67,51.4,78,84,1609.0,93,68,3,LondonGoldAndSilverFix,http://www.webservicex.net/LondonGoldFix.asmx?wsdl
180,1226.0,100,3.2,71,53.3,78,84,1181.0,90,68,3,EMBLNucleotideSequenceWebService,http://www.webservicex.com/EMBLNucleotideSequenceWebService.asmx?wsdl
181,530.37,100,1.5,93,13.0,78,82,126.54,89,68,3,USHolidayDates,http://www.holidaywebservice.com/Holidays/US/Dates/USHolidayDates.asmx?wsdl
182,574.88,97,1.9,90,42.6,78,69,541.38,95,67,3,XigniteInsider,http://www.xignite.com/xInsider.asmx?wsdl
183,146.0,100,2.5,67,63.3,78,84,145.0,39,67,3,TranslateService,http://www.webservicex.com/TranslateService.asmx?wsdl
184,208.5,100,0.7,78,63.2,78,84,101.0,34,67,3,airport,http://www.webservicex.com/airport.asmx?wsdl
185,383.95,100,2.4,92,29.4,78,74,370.25,90,67,3,XigniteHistorical,http://www.xignite.com/xHistorical.asmx?wsdl
186,1075.33,100,1.2,75,50.0,78,84,1014.0,92,67,3,HCPCS,http://www.webservicex.com/hcpcs.asmx?wsdl
187,172.0,100,2.4,71,66.5,78,84,171.0,39,67,3,GeoIPService,http://www.webservicex.com/geoipservice.asmx?wsdl
188,157.5,86,12.2,71,69.7,89,84,153.5,2,67,3,EmailSignupService,http://www.selectrucks.com/EmailSignupService.asmx?wsdl
189,437.62,70,1.0,49,68.4,78,69,64.05,93,67,3,PhoneNotify,http://ws.cdyne.com/NotifyWS/phonenotify.asmx?wsdl
190,130.0,83,10.0,50,80.7,89,82,124.0,12,67,3,QueryWebserviceService,http://www.geocodeamerica.com/query_webservice/service.wsdl
191,114.73,59,10.7,56,94.4,89,84,111.5,4,67,3,BioPluginService,http://www.complysoft.com/bioplugin.asmx?wsdl
192,631.0,100,10.0,67,77.1,78,84,531.0,36,67,3,QuoteofTheDay,http://www.swanandmokashi.com/HomePage/WebServices/QuoteOfTheDay.asmx?wsdl
